"",,Number,,,Ratea,
Type of crime,2003,2011,2012,2003,2011,2012
Violent crimeb,"7,679,050","5,812,520","6,842,590 †",32.1,22.6,26.1 †
Rape/sexual assault,"325,310","244,190","346,830",1.4,0.9,1.3
Robbery,"708,380","557,260","741,760 ‡",3.0,2.2,2.8 ‡
Assault,"6,645,360","5,011,080","5,754,010 ‡",27.8,19.5,22.0
Aggravated assault,"1,362,270","1,053,390","996,110",5.7,4.1,3.8
Simple assault,"5,283,100","3,957,690","4,757,900 †",22.1,15.4,18.2 †
Domestic violencec,"1,480,920","1,354,910","1,259,390",6.2,5.3,4.8
Intimate partner violenced,"1,040,290","850,770","810,790",4.3,3.3,3.1
Violent crime involving injury,"2,029,200","1,450,650","1,573,460",8.5,5.6,6.0
Serious violent crimee,"2,395,950","1,854,840","2,084,690",10.0,7.2,8.0
Serious domestic violencec,"650,650","369,040","411,080",2.7,1.4,1.6
Serious intimate partner violenced,"498,470","262,660","270,240",2.1,1.0,1.0
Serious violent crime involving weapons,"1,695,680","1,194,420","1,415,120",7.1,4.6,5.4
Serious violent crime involving injury,"953,740","689,810","762,170",4.0,2.7,2.9
