"",,Percent,,,,Standard error,
"",Rape/sexual,,Aggravated,Simple,Rape/sexual,Aggravated,Simple
Year,assault,Robbery,assault,assault,assault,Robbery assault,assault
1993,5%,10%,21%,64%,0.4,0.6 0.9,1.1
1994,4,10,20,66,0.3,0.5 0.7,0.9
1995,4,9,19,68,0.3,0.5 0.7,0.9
1996,3,10,20,66,0.3,0.5 0.7,0.9
1997,4,9,22,65,0.4,0.5 0.8,1.0
1998,3,8,19,69,0.3,0.6 0.9,1.2
1999,6,10,19,66,0.5,0.6 0.9,1.2
2000,4,10,18,67,0.5,0.7 1.0,1.3
2001,6,9,19,66,0.6,0.7 1.0,1.4
2002,5,8,18,69,0.5,0.7 1.0,1.3
2003,4,9,18,69,0.5,0.7 1.0,1.4
2004,4,9,21,66,0.5,0.8 1.2,1.4
2005,3,11,18,67,0.5,0.9 1.2,1.6
2006*,5,11,21,63,0.6,0.8 1.1,1.5
2007,4,11,18,67,0.5,0.9 1.1,1.6
2008,5,11,15,69,0.9,1.4 1.6,2.5
2009,5,11,18,65,1.0,1.5 2.0,2.9
2010,5,12,17,66,1.0,1.6 2.0,3.0
2011,4,10,18,68,0.7,1.2 1.7,2.5
2012,5,11,15,70,0.7,1.2 1.4,2.1
