"",,Victimization ratesa,
type of violent crime,2002,2010,2011
Violent crimec,32.1,19.3,22.5
Rape/sexual assault,1.5,1.0,0.9
Robbery,2.7,2.2,2.2
Assault,27.9,16.0,19.4
Aggravated assault,5.8,3.4,4.1
Simple assault,22.1,12.7,15.3
Domestic violenced,5.6,4.4,5.3
Intimate partner violencee,4.0,3.0,3.3
Violent crime involving injury,8.2,5.0,5.6
Serious violent crimef,10.0,6.6,7.2
Serious domestic violenced,1.9,1.5,1.4
Serious intimate partner violencee,1.3,1.1,1.0
Serious violent crime involving weapons,6.9,4.2,4.6
Serious violent crime involving injury,3.3,2.6,2.7
